image,score
MixarMap_16-24,23.280%
MixarMap_16-25,21.186%
MixarMap_15-25,13.894%
MixarMap_15-24,0.566%
MixarMap_10-3,0.313%
MixarMap_8-19,0.274%
MixarMap_25-26,0.255%
MixarMap_8-21,0.238%
MixarMap_17-25,0.228%
MixarMap_21-24,0.222%
MixarMap_10-5,0.209%
MixarMap_13-24,0.169%
MixarMap_18-24,0.163%
MixarMap_4-11,0.111%
MixarMap_10-6,0.109%
MixarMap_4-9,0.108%
MixarMap_31-31,0.104%
MixarMap_29-31,0.102%
MixarMap_2-9,0.094%
MixarMap_6-22,0.089%
MixarMap_21-27,0.089%
MixarMap_6-23,0.088%
MixarMap_18-28,0.072%
MixarMap_5-19,0.068%
MixarMap_6-12,0.068%
MixarMap_34-31,0.065%
MixarMap_19-28,0.065%
MixarMap_11-24,0.060%
MixarMap_7-14,0.060%
MixarMap_15-26,0.056%
MixarMap_32-30,0.052%
MixarMap_3-8,0.052%
MixarMap_7-6,0.050%
MixarMap_1-8,0.049%
MixarMap_11-23,0.049%
MixarMap_6-10,0.049%
MixarMap_7-7,0.046%
MixarMap_19-24,0.037%
MixarMap_34-32,0.036%
MixarMap_6-6,0.036%
MixarMap_25-24,0.034%
MixarMap_9-5,0.034%
MixarMap_14-24,0.030%
MixarMap_6-16,0.024%
MixarMap_30-30,0.019%
MixarMap_28-30,0.016%
MixarMap_31-35,0.016%
MixarMap_3-7,0.014%
MixarMap_11-4,0.011%
MixarMap_10-4,0.002%
MixarMap_7-8,-0.000%
MixarMap_9-4,-0.000%
MixarMap_6-20,-0.000%
MixarMap_5-12,-0.000%
MixarMap_11-5,-0.000%
MixarMap_33-31,-0.000%
MixarMap_7-24,-0.000%
MixarMap_5-17,-0.000%
MixarMap_32-32,-0.000%
MixarMap_24-24,-0.000%
MixarMap_24-25,-0.000%
MixarMap_6-18,-0.000%
MixarMap_4-12,-0.000%
MixarMap_7-15,-0.000%
MixarMap_14-23,-0.000%
MixarMap_7-16,-0.000%
MixarMap_5-16,-0.000%
MixarMap_9-3,-0.000%
MixarMap_30-31,-0.000%
MixarMap_18-27,-0.000%
MixarMap_20-27,-0.000%
MixarMap_26-25,-0.000%
MixarMap_18-25,-0.000%
MixarMap_5-7,-0.000%
MixarMap_5-14,-0.000%
MixarMap_7-20,-0.000%
MixarMap_19-27,-0.000%
MixarMap_21-26,-0.000%
MixarMap_27-26,-0.000%
MixarMap_15-23,-0.000%
MixarMap_33-32,-0.000%
MixarMap_9-7,-0.000%
MixarMap_22-27,-0.000%
MixarMap_9-6,-0.001%
MixarMap_8-7,-0.001%
MixarMap_7-21,-0.001%
MixarMap_26-24,-0.001%
MixarMap_28-29,-0.001%
MixarMap_28-28,-0.001%
MixarMap_8-24,-0.001%
MixarMap_5-11,-0.001%
MixarMap_20-24,-0.001%
MixarMap_17-27,-0.001%
MixarMap_5-8,-0.001%
MixarMap_20-25,-0.001%
MixarMap_30-32,-0.001%
MixarMap_17-24,-0.001%
MixarMap_23-25,-0.001%
MixarMap_3-10,-0.001%
MixarMap_3-11,-0.001%
MixarMap_5-13,-0.001%
MixarMap_7-19,-0.001%
MixarMap_4-10,-0.001%
MixarMap_7-23,-0.001%
MixarMap_10-2,-0.001%
MixarMap_32-34,-0.001%
MixarMap_12-24,-0.001%
MixarMap_2-8,-0.001%
MixarMap_27-25,-0.001%
MixarMap_9-1,-0.001%
MixarMap_19-26,-0.001%
MixarMap_29-30,-0.001%
MixarMap_7-13,-0.001%
MixarMap_5-22,-0.001%
MixarMap_22-24,-0.001%
MixarMap_7-25,-0.001%
MixarMap_5-15,-0.001%
MixarMap_16-26,-0.001%
MixarMap_24-26,-0.001%
MixarMap_12-25,-0.001%
MixarMap_6-8,-0.001%
MixarMap_32-31,-0.001%
MixarMap_5-23,-0.001%
MixarMap_27-27,-0.001%
MixarMap_27-30,-0.001%
MixarMap_25-27,-0.001%
MixarMap_22-25,-0.001%
MixarMap_8-25,-0.001%
MixarMap_29-32,-0.001%
MixarMap_10-24,-0.001%
MixarMap_7-22,-0.001%
MixarMap_19-25,-0.001%
MixarMap_26-26,-0.001%
MixarMap_8-6,-0.001%
MixarMap_4-7,-0.001%
MixarMap_7-12,-0.001%
MixarMap_8-14,-0.002%
MixarMap_5-18,-0.002%
MixarMap_6-15,-0.002%
MixarMap_20-26,-0.002%
MixarMap_6-17,-0.002%
MixarMap_32-35,-0.002%
MixarMap_22-26,-0.002%
MixarMap_3-9,-0.002%
MixarMap_12-23,-0.002%
MixarMap_28-31,-0.002%
MixarMap_31-34,-0.002%
MixarMap_31-33,-0.002%
MixarMap_5-24,-0.002%
MixarMap_18-26,-0.002%
MixarMap_30-33,-0.002%
MixarMap_28-32,-0.002%
MixarMap_9-2,-0.002%
MixarMap_9-23,-0.002%
MixarMap_26-28,-0.002%
MixarMap_10-23,-0.002%
MixarMap_21-25,-0.002%
MixarMap_6-14,-0.002%
MixarMap_6-13,-0.002%
MixarMap_6-7,-0.002%
MixarMap_27-24,-0.002%
MixarMap_33-33,-0.002%
MixarMap_17-28,-0.002%
MixarMap_26-27,-0.002%
MixarMap_9-24,-0.002%
MixarMap_25-25,-0.002%
MixarMap_6-24,-0.002%
MixarMap_6-11,-0.002%
MixarMap_7-18,-0.002%
MixarMap_13-23,-0.002%
MixarMap_27-28,-0.002%
MixarMap_23-26,-0.002%
MixarMap_27-29,-0.003%
MixarMap_31-32,-0.003%
MixarMap_27-31,-0.003%
MixarMap_10-7,-0.003%
MixarMap_8-22,-0.003%
MixarMap_7-17,-0.003%
MixarMap_23-24,-0.003%
MixarMap_4-8,-0.003%
MixarMap_6-21,-0.003%
MixarMap_5-9,-0.003%
MixarMap_32-33,-0.003%
MixarMap_6-19,-0.003%
MixarMap_13-25,-0.003%
MixarMap_17-26,-0.003%
MixarMap_8-23,-0.003%
MixarMap_31-30,-0.003%
MixarMap_2-7,-0.003%
MixarMap_16-27,-0.003%
MixarMap_14-25,-0.003%
MixarMap_33-34,-0.004%
MixarMap_5-10,-0.004%
MixarMap_8-20,-0.004%
